sequence,date,prompt_summary,category,response
38,2026-05-05,Add filters for each column on search results page,Feature,"Added /sources /job-types /states API endpoints. Rebuilt Filters component with dropdowns for Source Country State Job Type Sort Order Per Page."
39,2026-05-05,Add editable country field for unknown countries,Feature,"Added PATCH /jobs/{id}/country endpoint. Built CountryCell component with inline edit dropdown for Unknown/LinkedIn countries showing known country list."
40,2026-05-05,Add timezone column based on job location adjusted for EST,Feature,"Created utils/timezone.js with country/state to IANA timezone mapping. Shows EST offset for each job location in the table."
41,2026-05-05,Put timezone in same column as location,UI Improvement,"Merged timezone into location cell as a blue sub-label showing EST offset. Removed separate Timezone column."
42,2026-05-05,Add Clear All button to Import Job Links page,Feature,"Added DELETE /links/all endpoint. Added red Clear All Imported button with confirmation dialog to processed section."
43,2026-05-05,Add Useful Links page with new SQLite table,Feature,"Created useful_links table with id/description/url/added_at. Added CRUD endpoints. Built UsefulLinks React page with add form inline edit and delete."
44,2026-05-05,Detect if LinkedIn job is remote,Feature,"Added _detect_remote function checking job criteria elements description text and country-only location pattern. Added is_remote field to job dict."
45,2026-05-05,Test remote job detection on specific LinkedIn URL,Research,"Created test_fetch.py targeting job 4385168689. Found no explicit remote label - LinkedIn uses country-only location (United States) as remote indicator."
46,2026-05-05,Update remote detection for country-only location pattern,Bug Fix,"Updated _detect_remote to accept location parameter. Added check: if location has no comma and matches a country name it's Remote."
47,2026-05-05,Add is_remote column and migration script,Feature,"Created add_remote_column.py migration. Added is_remote to db.py schema and save_jobs. Back-fills existing rows from description/location text."
48,2026-05-05,Write script to update remote status for all LinkedIn rows,Feature,"Created update_remote_status.py that re-fetches each LinkedIn job via guest API runs detection logic and updates is_remote. Supports --dry-run and --id flags."
49,2026-05-05,Add remote/hybrid/on-site badge to Type column,UI Improvement,"Added colour-coded badge-remote next to job_type in table. Green for Remote orange for Hybrid blue for On-site."
50,2026-05-05,Stack Type field with remote badge below,UI Improvement,"Changed type-cell from horizontal flex to vertical flex-direction:column so job type appears above the remote badge."
51,2026-05-05,Make Job Type filter a multi-select with remote options,Feature,"Added is_remote filter param to API. Built collapsible dropdown panel with Type radio buttons and Work Mode radio buttons. Click-outside-to-close."
52,2026-05-05,Add button to run Adzuna jobs pull from UI,Feature,"Added POST /run-adzuna endpoint that executes adzuna_jobs.py. Built modal with keywords input Run Search button and output display. Auto-refreshes results."
53,2026-05-05,Add New badge for freshly imported jobs that fades after 10 minutes,Feature,"Added isNew() function comparing searched_at to Date.now(). Orange pulsing New badge on source column. Component re-renders every minute to expire badges."
54,2026-05-05,Create Kanban board page with pipeline lanes,Feature,"Created kanban_jobs table with status field. Built Kanban React page with 8 lanes card components with expand/move/notes. Auto-syncs missing kanban rows on load."
55,2026-05-05,Fix missing tiles in Searched/Found lane,Bug Fix,"API was returning 108 cards correctly. Fixed CSS - added min-height to board and proper overflow-y on lane bodies."
56,2026-05-05,Change Researched lane to Researching,Rename,"Updated LANES and LANE_COLORS in Kanban.jsx. Created rename_lane.py migration script for existing DB rows."
57,2026-05-05,Make Kanban headers sticky while scrolling tiles,UI Improvement,"Set kanban-page to flex column with fixed height. Header flex-shrink:0 board flex:1 with overflow. Lane headers sticky within lanes."
58,2026-05-05,Fix tiles disappearing with sticky header layout,Bug Fix,"Added min-height:0 to flex children to allow shrinking below content size. Critical for enabling overflow scroll within flex containers."
59,2026-05-05,Move lane headers into page header,UI Improvement,"Separated lane headers into kanban-lane-headers-row in the sticky header. Board only contains card bodies. Added scroll sync via JS ref."
60,2026-05-05,Fix header/tile overlap and alignment issues,Bug Fix,"Removed sticky from lane headers. Let page scroll naturally with sticky page header only."
61,2026-05-05,Narrow gap between lanes and add separator lines,UI Improvement,"Set gap:0 on both header row and board. Added border-right:1px solid #dde1e7 to each lane for full-height separators."
62,2026-05-05,Fix separator line alignment with headers,Bug Fix,"Set gap:0 on header row to match board. Added box-sizing:border-box to lane headers. Lines now align perfectly."
63,2026-05-05,Add View Job link to collapsed tile,Feature,"Added View link to kanban-card-badges row with margin-left:auto to push right. onClick stopPropagation prevents card expand."
64,2026-05-05,Collapse tile after saving notes,UI Improvement,"Added setExpanded(false) after successful note save in saveNotes function."
65,2026-05-05,Enable horizontal scrolling for all lanes,Bug Fix,"Added overflow-x:auto to .app:has(.kanban-page) and min-width:max-content to kanban-page."
66,2026-05-05,Fix horizontal scroll and sticky header conflict,Bug Fix,"Restructured to flex column layout. Header fixed height board fills remaining space with overflow-x/y:auto. Scroll sync via onScroll handler."
67,2026-05-05,Enable drag and drop on Kanban board,Feature,"Added HTML5 drag/drop using draggable onDragStart onDragOver onDragEnter onDragLeave onDrop. Blue dashed outline on drop target. Saves immediately to DB."
68,2026-05-05,Add lane change history tracking table,Feature,"Created kanban_history table. Log every status change in PATCH /kanban/{id}/status. Added History button on card with scrollable from/to/when entries."
69,2026-05-05,Fix history panel layout - stack From/To and When on two rows,UI Improvement,"Replaced table with stacked div entries. From arrow To on first line timestamp on second line in grey."
70,2026-05-05,Make history panel scrollable showing 3 moves max in reverse order,UI Improvement,"Changed API ORDER BY to DESC. Set max-height:138px on history panel for ~3 visible entries with scroll."
71,2026-05-05,Change Move To buttons to a dropdown,UI Improvement,"Replaced array of lane buttons with single select dropdown. Fires move immediately on change resets to placeholder after."
72,2026-05-05,Add Application Error lane,Feature,"Added Application Error to LANES array with dark red colour #b71c1c."
73,2026-05-05,Add No Longer Accepting Applications lane,Feature,"Added No Longer Accepting Applications to end of LANES with slate grey #546e7a."
74,2026-05-05,Combine rejection lanes into single Failed lane with fail_type,Refactor,"Merged 4 rejection lanes into Failed. Added fail_type column to kanban_jobs. Created fail type selector in expanded card. Migration script for existing rows."
75,2026-05-05,Fix no such column fail_type error,Bug Fix,"Migration script hadn't been run. Provided: python SearchCode/add_fail_type_column.py"
76,2026-05-05,Show fail type dialog when moving tile to Failed,Feature,"Added FailTypeDialog modal component. Intercepts moves to Failed lane (drag or dropdown). Must select reason before confirming. Saves fail_type to DB."
77,2026-05-05,Add Anonymize Companies toggle,Feature,"Created utils/anonymize.js with deterministic hash-based fake company names. Added checkbox to header. JobTable uses co() wrapper on company column."
78,2026-05-05,Make anonymize work on Pipeline page too,Bug Fix,"Lifted anonymize state to App.jsx. Passed as prop to both JobSearch and Kanban. Added co() wrapper to card company display."
79,2026-05-05,Fix duplicate anonymize state declaration,Bug Fix,"Removed local useState for anonymize in JobSearch since it now comes as a prop from App."
80,2026-05-05,Move Rejected By Me into Failed lane,Refactor,"Removed from LANES added to FAIL_TYPES. Created migrate_rejected_by_me.py to update existing rows."
81,2026-05-05,Add star/focus selection for Searched/Found tiles,Feature,"Added is_active column to kanban_jobs. POST /kanban/{id}/active toggles (clears others). Star button on Searched/Found cards. Orange border/glow on active."
82,2026-05-05,Fix no such column is_active error,Bug Fix,"Migration script needed: python SearchCode/add_active_column.py"
83,2026-05-05,Clear active highlight when tile moves out of Searched/Found,Feature,"Added check in PATCH status endpoint: if moving from Searched/Found to another lane set is_active=0."
84,2026-05-05,Fix drag and drop not functioning,Bug Fix,"Added onDragEnter and contains() check on onDragLeave to prevent flickering. Added e.preventDefault() on onDrop. Set dataTransfer data."
85,2026-05-05,Fix click on tile not working,Bug Fix,"Removed pointer-events:none on :active * which was blocking clicks on card children."
86,2026-05-05,Move notes to separate table with timestamps and scrollable feed,Refactor,"Created kanban_notes table with GET/POST/DELETE endpoints. Rebuilt card notes as scrollable feed with individual timestamps and delete buttons. Add via textarea."
87,2026-05-05,Add manual job entry page,Feature,"Created POST /jobs/manual endpoint generating unique ID. Built AddJob React page with form fields for all columns. Auto-creates kanban card at Searched/Found."
88,2026-05-05,Fix LastInsertRowId compile error in C#,Bug Fix,"Replaced conn.LastInsertRowId with SELECT last_insert_rowid() query since Microsoft.Data.Sqlite doesn't expose that property directly."
89,2026-05-05,Create Dashboard page as default landing page,Feature,"Built Dashboard with stat cards pipeline breakdown bar chart current focus card countries pills and recent activity table. Set as default tab."
90,2026-05-05,Remove Searches Run tile from dashboard,UI Improvement,"Removed the total_searches stat card from dash-cards section."
91,2026-05-05,Fix Applied count to use history (ever applied),Bug Fix,"Added /stats/applied-count endpoint querying COUNT(DISTINCT kanban_id) from kanban_history WHERE to_status=Applied. Dashboard uses this instead of pipeline count."
92,2026-05-05,Add pie chart of application outcomes and failure reasons,Feature,"Added /stats/outcomes endpoint. Built PieChart component with conic-gradient CSS and colour-coded legend showing counts and percentages."
93,2026-05-05,Fix pie chart missing failed states,Bug Fix,"Query was filtering by history table which missed some rows. Changed to show all jobs currently in Failed grouped by fail_type."
94,2026-05-05,Backfill applied history for failed jobs,Maintenance,"Created backfill_applied_history.py inserting Applied history entries for Failed jobs that didn't have one."
95,2026-05-05,Fix pie chart to include both applied and failed states,Bug Fix,"Updated query to include jobs in Applied/Interviewed/Accepted/Failed that have Applied history. Shows current status or fail_type as outcome."
96,2026-05-05,Run backfill script to fix pie chart data,Maintenance,"Provided command: python SearchCode/backfill_applied_history.py"
97,2026-05-05,Replace CSS pie chart with SVG donut chart with total in center,UI Improvement,"Rebuilt PieChart using SVG circles with stroke-dasharray. Total number displayed in center via text elements. Drop shadow filter."
98,2026-05-05,Add drill-down modal on pie chart segments,Feature,"Made SVG segments and legend items clickable. Opens modal showing filtered job list (title company location source) for clicked outcome. Click outside to dismiss."
99,2026-05-05,Fix anonymize on dashboard popup and recent activity,Bug Fix,"Passed anonymize prop to Dashboard and PieChart. Applied anonFn to company in drilldown modal recent activity table and focus card."
100,2026-05-05,Fix applied today showing 0 due to UTC timezone mismatch,Bug Fix,"Diagnosed UTC date vs EST local day mismatch. Created check_applied_today.py to verify. Led to Settings page for timezone."
101,2026-05-05,Add Settings page with timezone dropdown,Feature,"Created settings table with key/value. Added GET/PATCH /settings endpoints. Built Settings page with timezone dropdown. Updated applied-today to use user timezone."
102,2026-05-05,Make timezone selection a dropdown instead of radio list,UI Improvement,"Replaced scrollable radio button list with single select element using Intl.supportedValuesOf('timeZone')."
103,2026-05-05,Add happy/sad face widget for applications today,Feature,"Added /stats/applied-today endpoint using user timezone. Built widget with bouncing emoji and count next to pie chart."
104,2026-05-05,Auto-record Applied history when moving directly to Failed,Feature,"Updated PATCH status to insert Applied history entry when moving from Searched/Found or Researching to Failed."
105,2026-05-05,Geocode US states from Adzuna location using Nominatim,Feature,"Added US_STATES dict _extract_state_from_area and _geocode_state using Nominatim API. Created backfill_states.py for existing rows. 1 req/sec rate limit."
106,2026-05-05,Write all prompts to CSV file in app_metadata folder,Documentation,"Created app_metadata/prompts.csv with sequence/date/prompt_summary/category for all 106 prompts in the conversation."
107,2026-05-05,Add Prompts Log tab to display prompts CSV in scrollable table,Feature,"Added /prompts GET endpoint reading CSV. Built PromptsLog React page with filterable table and colour-coded category badges."
108,2026-05-05,Commit to appending prompts to CSV after every change,Process,"Agreed to append new line to prompts.csv with sequence/date/summary/category/response after every change going forward."
109,2026-05-05,Catch up prompts log with recent prompts,Documentation,"Appended missing entries 109-121 covering timezone dropdown happy face widget settings page and related fixes."
110,2026-05-05,Add response column to prompts CSV with more/less expander in UI,Feature,"Added response as 5th CSV column. Updated C# parser to split on 5 commas. Built ResponseCell component with first-line preview and expandable full text."
111,2026-05-05,Backfill all responses in prompts CSV,Documentation,"Rewrote entire prompts.csv with detailed response summaries for all 111 entries."
112,2026-05-05T22:30:00,Remove response column from table - show full response in click-to-open modal instead,UI Improvement,"Removed Response column from PromptsLog table. Made rows clickable. Added modal overlay showing prompt + full response text. Click outside to dismiss. Styled with scrollable response area."
113,2026-05-05T22:45:00,Move prompts log from CSV to SQLite table,Refactor,"Added prompts_log table to C# startup. Updated /prompts endpoint to read from DB. Created import_prompts_to_db.py migration script to import CSV data. Keeps CSV as backup."
114,2026-05-05T23:00:00,Populate full verbatim responses for all prompts in SQLite table,Documentation,"Created 4 Python scripts to update prompts_log table with detailed responses for all 113 entries. Responses describe what was done in each step without code blocks."
115,2026-05-05T23:10:00,Add search_keywords setting for Fetch Adzuna Jobs default,Feature,"Added search_keywords to settings table with default value. Settings page now has an editable text field that saves on blur. Fetch Adzuna modal reads the setting as its default keywords."
116,2026-05-05T23:15:00,Renamed github repo to Jobsearch-with-Kiro,Organization,"No code changes needed - the app doesn't reference the repo name anywhere. Acknowledged the rename."
117,2026-05-05T23:20:00,Push code to GitHub repo Jobsearch-with-Kiro,Organization,"Initialized git repo added .gitignore (excluding node_modules/bin/obj/.env but including jobs.db). Committed 64 files. Pushed to full-app branch since main had existing commits. PR link provided."
118,2026-05-05T23:30:00,Create sourcecode-stats branch with code stats table pie charts and new tab,Feature,"Created sourcecode-stats branch. Added code_stats table to DB. Built scan_code_stats.py that walks workspace counting lines by file type. Added /code-stats API endpoint. Built CodeStats React page with two SVG donut charts (lines and files by language) plus breakdown table. Added as nav tab after Settings."
119,2026-05-05T23:40:00,Add Rescan button on Code Stats page to run scanner via .NET API,Feature,"Added POST /code-stats/scan endpoint that executes scan_code_stats.py via py -3.14. Added Rescan button to Code Stats page header that triggers the scan and refreshes the data on success."
120,2026-05-05T23:45:00,Fix Rescan button not visible on Code Stats page,Bug Fix,"The early return for empty data was rendering before the button. Moved the button into the empty state view so it's always visible even when no stats exist yet."
121,2026-05-06T00:00:00,Fix applied-today not functioning on Dashboard,Bug Fix,"The LIKE query was comparing UTC timestamps against a local timezone date string which didn't match. Fixed by calculating start/end of today in user's timezone then converting to UTC for a proper range query (>= start AND < end)."
122,2026-05-06T00:10:00,Can a C# console program spawn both services and stop on user input,Research,"Confirmed yes - a simple C# console app can start both dotnet run and npm run dev as child processes then wait for keypress to kill both using taskkill /T /F for process tree cleanup."
123,2026-05-06T00:15:00,Create branch to automate running the application,Feature,"Created automate-startup branch. Built launcher/ C# console app that starts the API (dotnet run in webapp/api_cs) and React UI (npm run dev in webapp/client with OPENSSL_CONF cleared). Waits for Enter then kills both process trees. Run with: dotnet run --project launcher"
124,2026-05-06T00:20:00,Test the launcher - provide the run command,Usage,"Provided: dotnet run --project launcher from workspace root. Both services start and user presses Enter to stop."
125,2026-05-06T00:25:00,Add new prompts and responses to prompts log,Documentation,"Appended prompts 122-125 covering the launcher research creation testing and this documentation update."
126,2026-05-06T00:30:00,Create Code Map tab as empty placeholder,Feature,"Created CodeMap.jsx with title and subtitle. Added to App.jsx nav and routing. Added basic CSS. Tab appears after Code Stats."
127,2026-05-06T00:40:00,Build Code Map page showing UI→API→SQL→Tables data flow,Feature,"Created CodeMap.jsx with complete mapping of all 38 API endpoints showing UI page action endpoint HTTP method SQL operation and tables affected. Filterable by page method and table. Grid layout with colour-coded methods and SQL types. Table names as blue pills."
128,2026-05-06T01:00:00,Split monolithic Program.cs into separate controllers by business process and update Code Map,Refactor,"Split Program.cs into 9 controller files (Jobs Kanban Links Stats UsefulLinks Settings Prompts CodeStats Adzuna). Program.cs now only handles startup/init and calls extension methods. Updated Code Map with Controller column and filter dropdown. Build verified clean."
129,2026-05-06T01:30:00,Fix delete function on Job Search Results page,Bug Fix,"Delete was failing due to foreign key constraints - kanban_jobs references job_listings. Updated JobsController delete endpoint to cascade: delete kanban_notes then kanban_history then kanban_jobs then job_listings."
130,2026-05-06T01:40:00,Add button to delete all untouched Searched/Found jobs,Feature,"Added DELETE /jobs/stale endpoint that finds kanban cards in Searched/Found with no history entries and cascades delete through notes/kanban/job_listings. Added red Clear Untouched button with confirmation dialog to Search Results header."
131,2026-05-06T01:50:00,Fix LinkedIn import failing for job 4405146667 - empty company,Bug Fix,"The a[href*=/company/] selector matched the logo link (no text) before the named link. Fixed by prioritizing data-tracking-control-name selector and adding fallback loop that skips empty-text links."
132,2026-05-06T02:00:00,Show red background on failed imports with error tooltip on hover,Feature,"Added error_message column to job_links table. Updated LinksController to parse Python output and detect per-link failures (Skipped or no title). Processed table shows red background on failed rows with Failed badge and hover tooltip showing the error. Green OK badge on success."
133,2026-05-06T02:10:00,Show Already imported status with kanban lane for duplicate imports,Feature,"Updated LinksController to check if URL already exists in job_listings before marking as error. Duplicates show 'Already imported - [lane]: [title]' in amber. True failures show red. New imports show green OK. Hover tooltip shows full message."
134,2026-05-06T02:20:00,Create bookmarklet for LinkedIn job URL extraction and bulk paste import,Feature,"Created browser bookmarklet that extracts all /jobs/view/ URLs from current LinkedIn page and copies to clipboard. Updated Import Links input from single-line to multi-line textarea supporting bulk paste. Shows URL count. Added Bookmarklet component with drag-to-bookmarks-bar button and usage instructions."
135,2026-05-06T02:40:00,Add delete button to Searched/Found tiles and remove duplicate View link,UI Improvement,"Added delete button (X) to tiles in Searched/Found lane with confirmation dialog. Removed duplicate View Job link from expanded card body (kept only the one on collapsed tile). Delete cascades through kanban_notes/history/jobs."
136,2026-05-06T02:50:00,Replace bookmarklet with browser extension download and installation instructions,UI Improvement,"Replaced the drag-to-bookmark bookmarklet with extension info section. Shows extension folder location with installation steps (Chrome/Edge developer mode Load unpacked) and usage instructions in expandable details sections."
